" Pay by debit or credit card","Plata prin card de debit sau credit"
" Secured","Securizat"
" Redirecting to Twispay payment gateway","Redirectare la portalul de plata Twispay"
" Order doesn\'t exists in store","Comanda nu a fost gasita"
" Unsupported payment method","Metoda de plata incorecta"
" The authorized amount is %1 ","Suma autorizata este %1 "
" Order paid successfully with reference #%1","Comanda a fost platita cu success avand numar de referinta #%1"
" Failed to complete payment","A intervenit o eroare la procesarea platii"
" Order could not be loaded","Comanda nu a putut fi incarcata"
" [RESPONSE]: Data: ","[RASPUNS]: Date: "
" [RESPONSE]: Validation completed for order ID: ","[RASPUNS]: Validare efectuata pentru comanda cu ID: "
" [RESPONSE]: Status complete-ok for order ID: ","[RASPUNS]: Status complete-ok pentru comanda cu ID: "
" [RESPONSE]: Status three-d-pending for order ID: ","[RASPUNS]: Status three-d-pending pentru comanda cu ID: "
" [RESPONSE]: Status failed for order ID: ","[RASPUNS]: Status failed pentru comanda cu ID: "
" [RESPONSE]: Status refund-ok for order ID: ","[RASPUNS]: Status refund-ok pentru comanda cu ID: "
" [RESPONSE]: Status cancel-ok for order ID: ","[RASPUNS]: Status cancel-ok pentru comanda cu ID: "
" [RESPONSE]: Status charge-back for order ID: ","[RASPUNS]: Status charge-back pentru comanda cu ID: "
" [RESPONSE-ERROR]: Wrong status: ","[RASPUNS-EROARE]: Status gresit: "
" [RESPONSE-ERROR]: Empty status","[RASPUNS-EROARE]: Lipseste campul status"
" [RESPONSE-ERROR]: Empty identifier","[RASPUNS-EROARE]: Lipseste campul identifier"
" [RESPONSE-ERROR]: Empty externalOrderId","[RASPUNS-EROARE]: Lipseste campul externalOrderId"
" [RESPONSE-ERROR]: Empty transactionId","[RASPUNS-EROARE]: Lipseste campul transactionId"
" Process the backUrl response of the Twispay server","Se proceseaza raspunsul de tip backUrl de la server-ul Twispay"
" Process the IPN response of the Twispay server","Se proceseaza raspunsul de tip IPN de la server-ul Twispay"
" NULL response received","Primit raspuns NULL"
" Failed to decript the response","Decriptarea raspunsului a esuat"
" Failed to validate the response","Validarea raspunsului a esuat"
" Payment failed: Incomplete or missing configuration","Plata esuata: Configurari lipsa sau partiale"
" Order #%1 processing as payment for transaction #%2 is successful","Comanda #%1 se proceseaza pentru ca plata pentru tranzactia #%2 este cu succes"
" Order #%1 pended as payment for transaction #%2 is pending","Comanda #%1 este in asteptare pentru ca plata pentru tranzactia #%2 este in asteptare"
" Order #%1 canceled as payment for transaction #%2 failed","Comanda #%1 anulata pentru ca plata pentru tranzactia #%2 a esuat"
" Order #%1 processing as payment for transaction #%2 is partially refunded","Comanda #%1 se proceseaza pentru ca plata pentru tranzactia #%2 a fost rambursta partial"
" Order #%1 closed as payment for transaction #%2 has been refunded","Comanda #%1 inchisa pentru ca plata pentru tranzactia #%2 a fost rambursata"
" Order #%1 canceled as payment for transaction #%2 has been canceled","Comanda #%1 anulata pentru ca plata pentru tranzactia #%2 a fost anulata"
" Order #%1 canceled as payment for transaction #%2 has been voided ok","Comanda #%1 anulata pentru ca plata pentru tranzactia #%2 a fost anulata"
" Order #%1 canceled as payment for transaction #%2 has been charged back","Comanda #%1 anulata pentru ca plata pentru tranzactia #%2 a fost returnata"
" Authorize payment","Autorizare plata"
" Authorize and capture payment","Autorizare si salvare plata"
" Refund payment","Returnare plata"
" Create payment request for order #%1","Creare cerere de plata pentru comanda #%1"
" Processing order #%1","Se proceseaza comanda #%1"
